id,timestamp,open_rank_domain,page_rank_integer,page_rank_decimal,website_url,having_ip_address,url_length,shortining_service,having_at_symbol,double_slash_redirecting,prefix_suffix,having_sub_domain,sslfinal_state,domain_registration_length,favicon,port,https_token,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,on_mouseover,rightclick,popupwindow,iframe,age_of_domain,dnsrecord,web_traffic,page_rank,google_index,links_pointing_to_page,statistical_report,result
e4f960cc-201b-41b6-8e74-372b88777c76,2024-11-19T08:10:30.316754,gemnilugin.gitbook.io,3,2.5,https://gemnilugin.gitbook.io/gemini,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
2358ce6c-53a3-4111-bd3c-74fb3c0f08da,2024-11-19T08:10:43.046125,gemonolodin.gitbook.io,3,2.78,https://gemonolodin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
f4615ad4-acf3-478a-8a15-30806d51a518,2024-11-19T08:10:58.415059,geniminiloghin.gitbook.io,1,1.49,https://geniminiloghin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
e63a831a-07e6-4f5a-a436-5adbdeb6a1e7,2024-11-19T08:11:11.056544,genimioin.gitbook.io,2,2.45,https://genimioin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
212cb654-cf8e-4472-8200-c2ba8e8f9ecb,2024-11-19T08:11:24.117062,germiniiexchange.gitbook.io,2,2.47,https://germiniiexchange.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
70bcaaa0-48b8-4d2a-9e4b-356e9e2f0e30,2024-11-19T08:11:37.716858,ggmenlihogeny.gitbook.io,2,1.78,https://ggmenlihogeny.gitbook.io/usa,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
c040f87d-c59b-497a-ab57-6b2073b60df3,2024-11-19T08:11:48.203386,giimeinilogin.gitbook.io,2,1.59,https://giimeinilogin.gitbook.io/sign-in,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
4009f6c9-22f2-42a6-97f1-e000dbcbe164,2024-11-19T08:11:59.118335,giminiloginix.gitbook.io,2,1.59,https://giminiloginix.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
4c1967d6-8f21-40f5-bdbf-c830ad3ce0d9,2024-11-19T08:12:09.508791,gimnjinlogen.gitbook.io,1,1.49,https://gimnjinlogen.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
f1f2f4cf-8ac1-4b93-9023-d7e15b5d815d,2024-11-19T08:12:20.600459,gminloggini.gitbook.io,2,2.47,https://gminloggini.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
427cae63-fca7-4b3a-beb5-19e32b293ffc,2024-11-19T08:12:33.397805,gomniloginiin.gitbook.io,0,0,https://gomniloginiin.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
e397bd60-6b73-4ad6-a4f0-36ad92154d1f,2024-11-19T08:12:45.343689,gqmnilogies.gitbook.io,0,0,https://gqmnilogies.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
af080940-3ed5-40d9-987e-11fd8700f949,2024-11-19T08:12:58.303973,gunenilggnies.gitbook.io,3,2.5,https://gunenilggnies.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
11a24847-e446-4076-84f6-3ed1cb00539e,2024-11-19T08:13:12.854810,help-wal-ledger.gitbook.io,0,0,https://help-wal-ledger.gitbook.io/en-us,1,1,1,1,1,-1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1
6792effe-7e15-4dca-8a8b-09e18bacfe3b,2024-11-19T08:13:25.965892,i-uppholdlogn.gitbook.io,0,0,https://i-uppholdlogn.gitbook.io/us,1,1,1,1,1,-1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
3969d42f-de09-4dc8-87b3-9fa176dcaf00,2024-11-19T08:13:38.252501,irobinhood-logi.gitbook.io,0,0,https://irobinhood-logi.gitbook.io/account,1,1,1,1,1,-1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
92eff1be-6c0e-432c-9063-dc65a95855e6,2024-11-19T08:13:51.565118,jamini-loginn.gitbook.io,0,0,https://jamini-loginn.gitbook.io/us,1,1,1,1,1,-1,1,0,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1
9e724454-fab5-471b-8958-9a326d5e41dc,2024-11-19T08:14:03.156413,jamnilogzn.gitbook.io,3,2.57,https://jamnilogzn.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
9ba7baca-b74c-4253-a1ff-a3aa3e978c2e,2024-11-19T08:14:13.861706,jamnilzgan.gitbook.io,3,2.57,https://jamnilzgan.gitbook.io/us,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1
