page_rank_decimal,shortining_service,favicon,request_url,url_of_anchor,links_in_tags,iframe,web_traffic,page_rank,google_index,links_pointing_to_page,sim_lev,sim_fuzz,num_of_subdomains,len_sub,len_of_subdomains,result
0.0,1,1,-1,1,0,-1,-1,-1,-1,-1,0.25,60,1,0,11,-1
0.0,1,-1,0,1,1,1,-1,-1,-1,-1,0.6,36,0,1,0,-1
3.0,1,1,-1,1,0,-1,0,1,-1,0,0.5,50,0,1,0,1
3.32,1,1,0,0,-1,1,0,1,-1,1,0.6,46,1,1,4,1
3.0,1,1,1,1,1,1,0,1,-1,-1,0.6,42,0,1,0,1
0.0,1,-1,-1,0,-1,1,-1,-1,-1,0,0.6,42,1,0,13,-1
0.0,1,-1,1,1,1,1,-1,-1,-1,0,0.5,53,1,0,13,-1
0.0,1,-1,1,1,1,1,-1,-1,-1,0,0.5,53,1,-1,16,-1
0.0,1,-1,1,1,0,1,-1,-1,-1,-1,0.5714285714285714,39,1,0,8,-1
3.32,1,1,1,1,1,1,0,1,-1,-1,0.5,40,1,1,3,1
0.0,1,1,-1,1,0,-1,-1,-1,-1,-1,0.25,60,1,-1,29,-1
0.0,1,1,-1,0,-1,1,-1,-1,1,0,0.25,60,1,0,13,-1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.6666666666666666,27,0,1,0,-1
3.02,1,1,1,1,0,-1,0,1,1,1,0.6,50,0,1,0,1
3.32,1,1,0,1,0,1,0,1,-1,1,0.6666666666666666,29,0,1,0,1
2.34,1,1,1,1,1,1,0,1,-1,0,0.5,53,1,-1,17,-1
0.0,1,1,0,1,0,-1,0,-1,-1,1,0.75,31,1,1,5,1
3.13,1,-1,0,1,0,-1,0,1,-1,1,0.6,56,0,1,0,1
3.55,1,-1,-1,-1,-1,-1,0,1,-1,1,0.5,50,1,1,3,1
0.0,1,1,1,1,1,1,0,-1,-1,0,0.6666666666666666,46,1,1,3,1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,0,13,-1
2.67,1,1,1,1,0,-1,0,1,-1,1,0.5,36,0,1,0,1
